0 0 0 0 0 0 0 0  0 0 0 0 0 0  0 0 
250 2.5e-05 16.7785 0 -5.95124e-08 1.90823e-08 0 503.324  62.901 -180229 -4.49651e-07 -5.69585e-08 -0.0005 42.4892  20.609 350965 
500 5e-05 7.78143 0 1.58755e-06 2.93492e-07 0 95.0381  -5.65114 -358124 -1.64576e-06 1.41008e-07 -0.001 -64.5682  1.46189 559467 
750 7.5e-05 5.83791 0 4.95975e-06 1.25924e-07 0 -14.8649  41.3173 -649493 -3.02472e-06 3.06374e-07 -0.0015 -121.676  3.88374 679269 
1000 0.0001 10.5157 0 7.18791e-06 1.16413e-07 0 77.4513  -35.8986 -865962 -5.55586e-06 6.85413e-07 -0.002 -17.5184  -2.37482 930323 
1250 0.000125 7.27914 0 1.01834e-05 -6.97086e-08 0 44.3464  9.38723 -1.05469e+06 -6.95112e-06 8.4658e-07 -0.0025 -62.0712  -26.8353 1.13322e+06 
1500 0.00015 7.79026 0 1.38009e-05 -3.31929e-07 0 -24.9733  36.4791 -1.31365e+06 -8.45081e-06 1.14587e-06 -0.003 -49.8523  3.89535 1.32883e+06 
1750 0.000175 9.00888 0 1.62699e-05 -3.4582e-07 0 90.9672  -29.6797 -1.51561e+06 -1.02048e-05 1.44635e-06 -0.0035 22.4157  14.2409 1.58556e+06 
2000 0.0002 6.60292 0 2.02091e-05 -2.10878e-07 0 -67.4781  -23.6191 -1.73606e+06 -1.23745e-05 1.79182e-06 -0.004 73.4037  -17.2792 1.76691e+06 
2250 0.000225 9.12979 0 2.24338e-05 -3.78459e-07 0 25.835  6.09857 -1.9694e+06 -1.39164e-05 2.18905e-06 -0.0045 -67.5104  5.85694 1.98845e+06 
2500 0.00025 8.07277 0 2.4832e-05 -3.29349e-07 0 74.9927  -8.459 -2.17101e+06 -1.63185e-05 2.27849e-06 -0.005 -25.19  -10.078 2.22956e+06 
2750 0.000275 6.82348 0 2.77129e-05 -5.10861e-07 0 2.43639  -10.7784 -2.41173e+06 -1.81503e-05 2.44054e-06 -0.0055 -43.727  10.2246 2.4146e+06 
3000 0.0003 9.1343 0 3.01392e-05 -6.19463e-07 0 18.3131  -16.7192 -2.62503e+06 -1.97808e-05 2.67811e-06 -0.006 -63.2436  11.6094 2.65727e+06 
3250 0.000325 7.23784 0 3.31742e-05 -7.50765e-07 0 24.1831  -6.85365 -2.83123e+06 -2.19318e-05 2.86789e-06 -0.0065 0.823515  16.4921 2.87472e+06 
3500 0.00035 7.85332 0 3.55085e-05 -8.83927e-07 0 -0.857576  -1.25335 -3.07521e+06 -2.34724e-05 3.0878e-06 -0.007 -7.07266  -22.0361 3.07173e+06 
3750 0.000375 8.58026 0 3.79174e-05 -9.58813e-07 0 49.7979  21.1165 -3.27875e+06 -2.56531e-05 3.29746e-06 -0.0075 -29.3786  2.59435 3.32228e+06 
4000 0.0004 6.97539 0 4.06631e-05 -9.42789e-07 0 -19.7641  -6.8987 -3.49984e+06 -2.77333e-05 3.46819e-06 -0.008 6.02251  30.7116 3.52171e+06 
