0 0 0 0 0 0 0 0  0 0 0 0 0 0  0 0 
250 2.5e-05 2.38857 0 -6.10339e-08 0 5.61529e-09 -10.606  -6797.37 0.83824 -1.84878e-06 -0.0005 2.73042e-07 -38.35  84922.2 -9.42415 
500 5e-05 8.40185 0 -3.58014e-06 0 -6.35265e-07 -12.7125  -84616.3 -2.45343 -1.60375e-06 -0.001 3.36818e-07 33.4224  94795.4 1.92146 
750 7.5e-05 0.436903 0 -8.6525e-06 0 -1.30371e-06 -20.8571  -131642 0.242294 2.28654e-06 -0.0015 5.0515e-07 -36.1874  134269 8.24793 
1000 0.0001 2.99564 0 -1.05952e-05 0 -1.46202e-06 2.4718  -146019 -2.5091 3.71667e-06 -0.002 1.14695e-06 7.42009  205782 6.26968 
1250 0.000125 7.01221 0 -1.80993e-05 0 -2.74974e-06 -12.8971  -226150 1.67143 5.21538e-06 -0.0025 1.37164e-06 9.82072  216900 1.06666 
1500 0.00015 0.507211 0 -2.46435e-05 0 -3.40119e-06 -6.09907  -258262 -0.404746 8.63244e-06 -0.003 2.09468e-06 2.25312  272872 3.41309 
1750 0.000175 3.85633 0 -2.70767e-05 0 -3.6614e-06 27.3627  -282939 -3.48293 8.82374e-06 -0.0035 2.74766e-06 -3.11068  335063 0.27448 
2000 0.0002 5.26964 0 -3.31178e-05 0 -4.77405e-06 7.37934  -364090 -0.960299 1.03177e-05 -0.004 2.86599e-06 7.89767  343080 0.409975 
2250 0.000225 0.638767 0 -3.80985e-05 0 -5.18838e-06 -12.8792  -384999 -0.167888 1.46578e-05 -0.0045 3.59511e-06 -20.4899  411694 0.883072 
2500 0.00025 4.75323 0 -4.1437e-05 0 -5.53464e-06 16.1408  -419806 -2.93684 1.39709e-05 -0.005 4.08735e-06 2.21301  464375 -0.201109 
2750 0.000275 3.2773 0 -4.84305e-05 0 -6.71006e-06 10.7735  -499298 1.33333 1.51627e-05 -0.0055 4.19802e-06 12.9464  473545 0.812362 
3000 0.0003 0.861958 0 -5.26987e-05 0 -6.98252e-06 -12.068  -512558 -0.975485 1.89292e-05 -0.006 5.02173e-06 -17.1492  549339 -2.83982 
3250 0.000325 5.59074 0 -5.53079e-05 0 -7.40174e-06 -18.4467  -557289 -1.10682 1.7623e-05 -0.0065 5.39404e-06 -6.62452  592698 1.24936 
3500 0.00035 1.75047 0 -6.34367e-05 0 -8.55186e-06 -5.66141  -631563 0.131342 1.93125e-05 -0.007 5.53548e-06 9.92949  606956 2.10657 
3750 0.000375 1.20697 0 -6.79684e-05 0 -8.70873e-06 0.373876  -641268 -0.554887 2.26626e-05 -0.0075 6.35519e-06 11.7182  685661 0.389797 
4000 0.0004 6.24866 0 -7.05131e-05 0 -9.2494e-06 -14.065  -695524 -1.01574 2.1325e-05 -0.008 6.65693e-06 -14.7254  719817 1.33909 
4250 0.000425 0.939539 0 -7.86781e-05 0 -1.03412e-05 -6.91073  -761046 2.39899 2.30759e-05 -0.0085 6.9044e-06 12.32  742981 0.984979 
4500 0.00045 1.69238 0 -8.35234e-05 0 -1.04369e-05 -2.57278  -771393 -0.565081 2.54817e-05 -0.009 7.74774e-06 -1.98449  820415 0.215256 
4750 0.000475 6.63589 0 -8.69814e-05 0 -1.10893e-05 -8.73321  -834134 -0.439504 2.38781e-05 -0.0095 7.97896e-06 0.757101  846337 0.537309 
5000 0.0005 0.658264 0 -9.48468e-05 0 -1.20358e-05 -13.2636  -888424 -0.763735 2.60809e-05 -0.01 8.33112e-06 -12.7518  880750 1.57853 
5250 0.000525 2.33553 0 -9.9566e-05 0 -1.21875e-05 21.0694  -903242 -0.505039 2.66647e-05 -0.0105 9.08024e-06 -2.72622  953927 -1.32814 
5500 0.00055 5.8787 0 -0.000103166 0 -1.21262e-05 9.56599  -971735 -1.12606 3.36515e-05 -0.011 1.18031e-05 154.659  975855 3.58783 
5750 0.000575 0.864004 0 -0.000114492 0 -1.40252e-05 34.1862  -1.01218e+06 -29.0544 4.23961e-05 -0.0115 1.44606e-05 92.4419  1.02334e+06 -3.55775 
6000 0.0006 3.07332 0 -0.000117448 0 -1.28362e-05 -44.278  -1.03745e+06 -2.47929 5.53466e-05 -0.012 1.28696e-05 61.8567  1.08491e+06 23.4613 
6250 0.000625 4.31688 0 -0.000128533 0 -1.3638e-05 -102.85  -1.10055e+06 46.2425 6.22895e-05 -0.0125 1.32082e-05 -53.3169  1.10541e+06 -6.7401 
6500 0.00065 0.748451 0 -0.000142485 0 -1.39062e-05 -119.099  -1.13615e+06 12.9335 7.81123e-05 -0.013 1.20367e-05 325.566  1.16577e+06 -109.93 
6750 0.000675 3.33206 0 -0.000181295 0 -1.46762e-05 -17.7439  -1.16076e+06 5.3387 9.34073e-05 -0.0135 1.32216e-05 113.171  1.21973e+06 -6.91625 
7000 0.0007 4.58887 0 -0.00020103 0 -1.49586e-05 -66.2053  -1.22887e+06 -47.6073 9.29897e-05 -0.014 1.10226e-05 -119.482  1.23575e+06 -9.81683 
7250 0.000725 0.947995 0 -0.000208529 0 -1.50302e-05 3.96377  -1.25992e+06 14.1095 9.77778e-05 -0.0145 1.6145e-05 320.975  1.29665e+06 -47.7576 
