0
2519 2807 10
2423 2519 10
2423 2807 10
2120 2519 10
2120 2423 10
2120 2852 10
2120 2807 10
2120 2420 10
2021 2831 10
1966 2519 10
1966 2503 10
1023 2807 10
1023 2475 10
1023 1235 10
1023 2546 10
1023 1383 10
859 2519 10
859 2423 10
859 2021 10
859 1023 10
859 2807 10
859 956 10
595 2519 10
595 2503 10
595 2039 10
595 1333 10
595 2831 1
595 2546 10
595 1259 1
595 2764 1
595 1815 10
595 1021 1
569 2423 10
569 1966 10
569 859 10
471 2519 10
471 2021 10
471 1966 10
471 859 10
471 595 10
471 569 10
471 2503 10
471 2831 1
2807 2852 10
2475 2807 10
2475 2546 10
2475 2524 10
2420 2852 10
2420 2807 10
2420 2475 10
2420 2650 10
2329 2871 10
2329 2852 10
2329 2475 10
2329 2420 10
1235 2871 10
1235 2852 10
1235 2807 10
1235 2475 10
1235 2329 10
1235 2158 10
651 2423 10
651 2852 10
651 2807 10
651 1235 10
431 2852 10
431 1235 10
431 651 10
431 2610 10
7 2852 10
7 2329 10
7 431 10
7 2610 10
7 701 10
7 438 10
7 334 10
1876 2871 10
1876 2610 10
1876 2513 10
1759 2513 1
1759 1876 1
1759 2667 10
1759 2432 10
910 2610 10
910 2513 10
910 1876 10
910 1170 1
701 2610 10
701 1876 10
701 1759 1
701 910 10
701 2432 1
560 2871 10
560 1876 10
560 1759 1
560 1425 1
560 596 10
560 2419 10
560 1926 10
560 912 10
438 2329 10
438 1876 10
438 1759 1
438 701 10
438 560 10
438 1378 10
438 2639 1
438 2432 1
438 1425 1
327 1759 10
327 910 1
327 701 1
327 2026 10
327 1170 10
327 996 10
327 1539 10
2071 2513 1
2026 2866 1
1894 2071 10
1894 2759 1
1894 2014 10
1894 2652 1
1420 2071 10
1198 2773 10
1198 2026 10
1198 1894 10
1198 1553 1
1198 2866 1
1198 2544 1
1170 2513 1
1170 2071 10
1170 1420 10
996 2513 1
996 1759 1
996 2071 10
996 2026 10
996 1894 10
996 1198 10
996 1170 10
996 1553 1
870 2071 10
870 1420 10
870 2414 10
870 2014 10
559 1420 10
559 870 10
559 1484 10
559 745 10
302 2773 10
302 2071 10
302 2026 10
302 1894 10
302 1420 10
302 1198 10
302 996 10
302 870 10
240 2773 10
240 1420 10
240 559 10
240 302 10
240 1484 10
240 939 10
240 1298 10
2414 2836 10
2414 2534 10
2151 2836 10
2151 2414 10
1819 2836 10
1819 2791 10
1484 2773 10
1484 2836 10
1484 2414 10
1484 2151 10
1376 1819 10
1376 1484 10
1012 2151 10
1012 1484 10
1012 1376 10
1012 2002 1
1012 1670 1
1012 1360 10
1012 1298 10
1012 1111 1
1012 1065 1
826 2836 10
826 2151 10
826 1376 10
826 1012 10
826 2791 10
826 1111 1
826 2678 10
745 2836 10
745 1819 10
745 1484 10
745 1376 10
2791 2836 10
2398 2563 10
2279 2398 10
2279 2563 10
2279 2573 1
